name,id,box_art_url
SMITE,32507,https://static-cdn.jtvnw.net/ttv-boxart/32507-{width}x{height}.jpg
Caliber,514013,https://static-cdn.jtvnw.net/ttv-boxart/514013_IGDB-{width}x{height}.jpg
Path of Exile,29307,https://static-cdn.jtvnw.net/ttv-boxart/29307_IGDB-{width}x{height}.jpg
Splitgate,499310,https://static-cdn.jtvnw.net/ttv-boxart/499310_IGDB-{width}x{height}.jpg
"Pools, Hot Tubs, and Beaches",116747788,https://static-cdn.jtvnw.net/ttv-boxart/116747788-{width}x{height}.jpg
Crypto,499634,https://static-cdn.jtvnw.net/ttv-boxart/499634-{width}x{height}.jpg
LEGO Star Wars: The Skywalker Saga,512987,https://static-cdn.jtvnw.net/ttv-boxart/512987_IGDB-{width}x{height}.jpg
"Animals, Aquariums, and Zoos",272263131,https://static-cdn.jtvnw.net/ttv-boxart/272263131-{width}x{height}.jpg
World of Warships,32502,https://static-cdn.jtvnw.net/ttv-boxart/32502_IGDB-{width}x{height}.jpg
Garena Free Fire,502732,https://static-cdn.jtvnw.net/ttv-boxart/502732_IGDB-{width}x{height}.jpg
Anno 1800,498638,https://static-cdn.jtvnw.net/ttv-boxart/498638-{width}x{height}.jpg
Epic Seven,510056,https://static-cdn.jtvnw.net/ttv-boxart/510056_IGDB-{width}x{height}.jpg
Gartic Phone,278888515,https://static-cdn.jtvnw.net/ttv-boxart/278888515_IGDB-{width}x{height}.jpg
King Arthur: Knight's Tale,417145015,https://static-cdn.jtvnw.net/ttv-boxart/417145015_IGDB-{width}x{height}.jpg
Heroes of Might and Magic III: The Restoration of Erathia,12839,https://static-cdn.jtvnw.net/ttv-boxart/12839_IGDB-{width}x{height}.jpg
eFootball 2022,1061323687,https://static-cdn.jtvnw.net/ttv-boxart/1061323687_IGDB-{width}x{height}.jpg
Super Smash Bros. Ultimate,504461,https://static-cdn.jtvnw.net/ttv-boxart/504461_IGDB-{width}x{height}.jpg
Anime World,637756067,https://static-cdn.jtvnw.net/ttv-boxart/637756067_IGDB-{width}x{height}.jpg
Nintendo Switch Sports,2044170173,https://static-cdn.jtvnw.net/ttv-boxart/2044170173_IGDB-{width}x{height}.jpg
Rust,263490,https://static-cdn.jtvnw.net/ttv-boxart/263490_IGDB-{width}x{height}.jpg
Cats are Cute,515503,https://static-cdn.jtvnw.net/ttv-boxart/515503-{width}x{height}.jpg
Home Sweet Home: Survive,1310901456,https://static-cdn.jtvnw.net/ttv-boxart/1310901456_IGDB-{width}x{height}.jpg
Sea of Thieves,490377,https://static-cdn.jtvnw.net/ttv-boxart/490377-{width}x{height}.jpg
Tibia,19619,https://static-cdn.jtvnw.net/ttv-boxart/19619_IGDB-{width}x{height}.jpg
Food & Drink,509667,https://static-cdn.jtvnw.net/ttv-boxart/509667-{width}x{height}.jpg
Lineage 2,515349,https://static-cdn.jtvnw.net/ttv-boxart/515349_IGDB-{width}x{height}.jpg
iRacing,19554,https://static-cdn.jtvnw.net/ttv-boxart/19554_IGDB-{width}x{height}.jpg
House Flipper,498000,https://static-cdn.jtvnw.net/ttv-boxart/498000_IGDB-{width}x{height}.jpg
Travel & Outdoors,509672,https://static-cdn.jtvnw.net/ttv-boxart/509672-{width}x{height}.jpg
Dungeon Fighter Online,25367,https://static-cdn.jtvnw.net/ttv-boxart/25367_IGDB-{width}x{height}.jpg
New World,493597,https://static-cdn.jtvnw.net/ttv-boxart/493597_IGDB-{width}x{height}.jpg
Hunt: Showdown,500188,https://static-cdn.jtvnw.net/ttv-boxart/500188_IGDB-{width}x{height}.jpg
Tunic,497432,https://static-cdn.jtvnw.net/ttv-boxart/497432_IGDB-{width}x{height}.jpg
FIFA Online 4,504798,https://static-cdn.jtvnw.net/ttv-boxart/504798_IGDB-{width}x{height}.jpg
League of Legends: Wild Rift,514858,https://static-cdn.jtvnw.net/ttv-boxart/514858-{width}x{height}.jpg
Weed Shop 3,1109340850,https://static-cdn.jtvnw.net/ttv-boxart/1109340850_IGDB-{width}x{height}.jpg
StarCraft II,490422,https://static-cdn.jtvnw.net/ttv-boxart/490422-{width}x{height}.jpg
PixArk,496326,https://static-cdn.jtvnw.net/ttv-boxart/496326_IGDB-{width}x{height}.jpg
Kartrider,491334,https://static-cdn.jtvnw.net/ttv-boxart/491334-{width}x{height}.jpg
